Texture,Perimeter,Smoothness,Concavity,ConcavePoints,FractalDimension
18.91,123.4,0.08217,0.09271,0.05627,0.05044
16.39,99.58,0.115,0.1138,0.08534,0.06467
25.12,130.4,0.1015,0.2545,0.1149,0.06113
13.29,79.08,0.1066,0.02855,0.02882,0.06471
19.48,101.7,0.1092,0.1466,0.08087,0.05796
21.54,106.2,0.1008,0.1043,0.05613,0.05891
13.93,102.0,0.09462,0.07135,0.05933,0.05723
21.91,120.2,0.0943,0.1153,0.06847,0.05727
22.47,81.72,0.09055,0.04711,0.02704,0.06065
16.67,74.72,0.1051,0.03592,0.026,0.05945
15.39,73.06,0.09639,0.03503,0.02875,0.05865
17.57,96.85,0.1167,0.1539,0.08624,0.06216
13.39,73.0,0.1164,0.04635,0.04796,0.06072
11.97,61.24,0.0925,0.0,0.0,0.06422
18.05,105.1,0.09721,0.09447,0.05943,0.06248
17.31,73.66,0.1092,0.02031,0.01861,0.06562
15.92,83.74,0.08677,0.04894,0.03088,0.06235
14.97,68.26,0.07793,0.02251,0.007875,0.05688
14.65,78.11,0.1152,0.0371,0.03003,0.07839
16.58,78.99,0.1091,0.1659,0.07415,0.07371
18.77,97.84,0.08138,0.0905,0.03562,0.06493
15.18,93.97,0.0997,0.08487,0.05532,0.06081
17.91,88.12,0.07944,0.02881,0.01329,0.0558
20.78,83.51,0.1135,0.03136,0.02645,0.06087
20.7,53.27,0.09405,0.1321,0.02168,0.08261
15.34,63.78,0.1072,0.4108,0.07857,0.09296
13.08,70.87,0.09754,0.01982,0.01786,0.06105
15.34,85.31,0.09384,0.09293,0.03483,0.06207
17.94,78.27,0.08654,0.03885,0.02331,0.06228
20.74,117.4,0.1115,0.1855,0.1054,0.06166
19.46,108.4,0.07445,0.0515,0.02771,0.05268
12.74,76.84,0.09311,0.01972,0.01963,0.05907
12.96,68.69,0.07515,0.00309,0.006588,0.05743
20.18,76.1,0.1089,0.06843,0.03738,0.06453
15.94,126.3,0.08694,0.1193,0.09667,0.05176
18.15,130.7,0.112,0.2508,0.1286,0.06082
22.22,79.85,0.1012,0.0537,0.02822,0.06761
22.04,152.1,0.08439,0.1324,0.09702,0.05553
19.76,95.5,0.08421,0.01947,0.01939,0.05266
9.71,68.77,0.09594,0.02531,0.01698,0.064
18.8,109.3,0.08865,0.08422,0.06576,0.05534
24.68,116.1,0.1049,0.2159,0.1043,0.06365
16.95,96.22,0.09855,0.02602,0.03781,0.0565
12.39,78.85,0.1028,0.03987,0.037,0.05955
19.63,85.84,0.09048,0.05858,0.03438,0.05671
11.89,102.5,0.1257,0.2032,0.1097,0.07069
14.71,70.21,0.1006,0.02363,0.02583,0.06669
15.15,67.49,0.08792,0.0,0.0,0.05975
14.45,54.42,0.09138,0.0,0.0,0.06724
18.06,64.6,0.09699,0.1307,0.03716,0.08116
20.11,109.3,0.09831,0.1793,0.08866,0.06323
22.22,82.01,0.06251,0.001595,0.001852,0.05234
13.06,81.29,0.08739,0.009193,0.0133,0.06133
21.87,182.1,0.1094,0.2871,0.1878,0.0577
26.57,142.7,0.1141,0.2487,0.1496,0.07398
20.31,101.2,0.09597,0.06593,0.05189,0.05549
14.92,73.53,0.09059,0.06181,0.02361,0.06217
22.41,98.92,0.09057,0.05375,0.03263,0.06317
15.11,63.76,0.09267,0.001597,0.002404,0.06048
18.58,118.6,0.08588,0.08169,0.05814,0.05425
17.19,74.68,0.09774,0.03809,0.03239,0.06095
17.39,75.27,0.1007,0.02353,0.01553,0.0578
15.9,78.83,0.0808,0.03844,0.01654,0.05474
23.12,94.37,0.1075,0.1981,0.06618,0.07542
21.41,82.02,0.08749,0.03112,0.02864,0.06287
18.22,60.73,0.0695,0.0,0.0,0.06447
26.86,81.15,0.1034,0.1085,0.04562,0.06937
23.21,100.4,0.1044,0.1697,0.08878,0.06672
16.33,82.53,0.07941,0.03873,0.02377,0.05667
22.29,90.63,0.12,0.1385,0.06526,0.06877
21.84,117.4,0.07371,0.1103,0.05778,0.0534
22.49,127.5,0.08523,0.1114,0.06772,0.05529
20.22,94.49,0.09872,0.118,0.0598,0.06466
19.56,78.54,0.09586,0.04187,0.04107,0.06013
19.32,115.1,0.08968,0.1036,0.07488,0.05491
26.67,158.9,0.1141,0.3523,0.162,0.06229
23.75,91.56,0.1323,0.1558,0.09176,0.07421
18.6,81.09,0.09965,0.08005,0.03821,0.06373
16.68,98.78,0.08876,0.0755,0.04079,0.05986
17.27,62.92,0.1089,0.01756,0.01952,0.06285
20.26,109.7,0.08772,0.0695,0.0539,0.05223
22.54,87.02,0.1002,0.08705,0.05102,0.0731
12.91,98.17,0.08182,0.05892,0.03157,0.05526
22.14,134.7,0.0909,0.164,0.09561,0.05024
18.94,75.51,0.08871,0.02669,0.01393,0.06057
18.47,188.5,0.1142,0.3201,0.1595,0.05525
25.56,114.5,0.1006,0.1682,0.06597,0.05866
23.81,92.87,0.09463,0.1115,0.06462,0.06433
16.93,90.96,0.1026,0.09901,0.05602,0.06916
18.35,77.32,0.09363,0.06636,0.03142,0.06314
17.48,65.05,0.08054,0.05774,0.01071,0.06315
21.56,129.7,0.09383,0.1272,0.08691,0.05581
32.47,128.0,0.0842,0.1145,0.06637,0.05313
13.16,87.88,0.09646,0.03888,0.02563,0.06344
13.9,88.59,0.1051,0.0786,0.04451,0.06303
17.53,65.12,0.1061,0.01768,0.01915,0.06908
20.25,102.6,0.1025,0.1147,0.06462,0.06303
17.02,84.55,0.08445,0.03554,0.02456,0.05674
13.47,92.51,0.09906,0.05724,0.04603,0.05448
15.46,66.62,0.1053,0.006643,0.01216,0.0645
15.51,97.45,0.08371,0.06505,0.0378,0.05907
23.97,81.35,0.07903,0.05438,0.02036,0.06019
22.33,85.26,0.1088,0.1695,0.06861,0.07254
19.08,113.4,0.1141,0.191,0.109,0.06325
27.08,71.76,0.06883,0.01633,0.003125,0.05628
33.81,70.79,0.0778,0.004967,0.006434,0.05828
27.81,134.4,0.09159,0.1554,0.0834,0.05592
15.91,60.21,0.08464,0.01652,0.01667,0.06403
21.25,89.79,0.0907,0.01462,0.01896,0.05835
26.97,153.5,0.09509,0.195,0.1237,0.06309
21.46,132.5,0.08355,0.09042,0.06022,0.05177
27.85,92.55,0.08223,0.1103,0.04408,0.06129
39.28,113.4,0.09812,0.1417,0.08811,0.05966
15.6,87.38,0.09423,0.04705,0.03731,0.0566
15.04,78.61,0.07926,0.01053,0.01108,0.05754
18.19,73.93,0.09592,0.1548,0.02854,0.07669
23.77,88.54,0.08043,0.04697,0.02344,0.05429
23.5,129.1,0.1027,0.2049,0.08886,0.06
19.86,66.72,0.107,0.04831,0.0307,0.0644
17.43,84.13,0.07215,0.04336,0.01105,0.05635
14.11,84.95,0.0876,0.1374,0.0398,0.06409
25.22,68.01,0.09657,0.02379,0.01615,0.06329
14.93,73.87,0.1013,0.04328,0.02929,0.06168
23.56,138.9,0.1007,0.2712,0.131,0.05898
18.45,73.28,0.09345,0.02638,0.02069,0.05934
19.82,130.7,0.1062,0.2417,0.0974,0.06697
17.08,113.0,0.1008,0.1266,0.08353,0.05613
19.33,126.5,0.1035,0.1379,0.08591,0.05647
17.05,91.43,0.1096,0.09789,0.05246,0.0613
28.77,133.6,0.0926,0.1784,0.1144,0.06232
17.27,103.2,0.1335,0.2448,0.1242,0.07596
23.2,110.2,0.1109,0.3176,0.1377,0.08104
33.56,103.7,0.1063,0.1751,0.08399,0.0665
27.06,132.9,0.1,0.1519,0.09333,0.05572
23.06,111.0,0.08662,0.02891,0.02837,0.05307
22.13,114.4,0.08999,0.09697,0.07507,0.05464
19.38,100.0,0.0784,0.04209,0.02847,0.05443
22.07,111.6,0.09726,0.09061,0.06527,0.0558
31.12,135.7,0.09469,0.1367,0.08646,0.05674
18.95,69.28,0.09688,0.06387,0.02642,0.06491
21.84,87.16,0.07956,0.04072,0.02142,0.05859
16.21,82.38,0.09425,0.039,0.01615,0.05769
20.39,69.5,0.1082,0.08448,0.02867,0.06862
16.82,90.3,0.06429,0.00725,0.00625,0.05376
13.04,72.23,0.09834,0.03265,0.02755,0.0627
20.99,147.3,0.09401,0.2195,0.1088,0.06194
15.67,61.5,0.09037,0.01103,0.01407,0.06312
24.48,115.2,0.08855,0.05699,0.04744,0.0551
17.36,76.2,0.1225,0.05929,0.07404,0.05875
14.16,71.79,0.09379,0.001487,0.003333,0.05821
19.98,120.9,0.08923,0.0802,0.05843,0.04996
17.84,86.24,0.07948,0.01997,0.01238,0.0552
15.18,88.99,0.09516,0.04479,0.03711,0.05853
26.6,126.2,0.102,0.1921,0.09664,0.0622
14.02,74.24,0.07813,0.02245,0.02763,0.06113
18.18,127.2,0.1037,0.1626,0.09464,0.05892
18.77,108.8,0.1066,0.1948,0.09052,0.06684
15.7,84.08,0.07818,0.1115,0.0339,0.05935
18.4,79.83,0.08393,0.00186,0.002924,0.05855
20.76,77.87,0.08605,0.06574,0.03791,0.06766
13.12,81.89,0.06955,0.0226,0.01171,0.05581
19.96,73.72,0.0802,0.09274,0.05588,0.06233
18.89,72.17,0.08713,0.02399,0.02173,0.05955
19.73,96.03,0.08757,0.1362,0.06602,0.07192
19.1,97.03,0.08992,0.0594,0.04819,0.05852
16.02,83.14,0.1005,0.06155,0.0337,0.0647
17.46,75.54,0.08372,0.02688,0.0228,0.05715
13.78,81.78,0.09667,0.01288,0.01924,0.061
13.27,88.06,0.09198,0.01063,0.01917,0.05912
12.35,69.14,0.08518,0.01236,0.01369,0.06031
18.14,75.0,0.09968,0.02685,0.03515,0.06287
18.17,91.22,0.06576,0.02475,0.01374,0.05586
23.09,66.85,0.1015,0.02495,0.01875,0.06556
18.9,129.5,0.115,0.2197,0.1062,0.06552
19.89,80.43,0.08451,0.0683,0.03099,0.06249
23.86,134.7,0.108,0.2283,0.128,0.07469
18.61,66.86,0.1068,0.02297,0.0178,0.066
18.16,73.59,0.08853,0.03344,0.01502,0.06243
24.49,74.23,0.07474,0.01974,0.01313,0.05878
15.82,84.07,0.08511,0.001461,0.003261,0.05894
14.4,56.36,0.07005,0.003681,0.003472,0.06833
12.71,85.69,0.07376,0.002758,0.004419,0.05335
13.84,82.71,0.08352,0.004559,0.008829,0.05518
19.11,74.33,0.08814,0.01583,0.01148,0.06128
15.69,92.68,0.07618,0.01447,0.01877,0.05255
13.37,82.29,0.08794,0.04052,0.02548,0.0614
10.72,73.73,0.08597,0.01367,0.008907,0.061
18.6,54.09,0.1074,0.0,0.0,0.07359
16.85,79.19,0.08511,0.004473,0.006423,0.05673
14.08,77.25,0.07734,0.01123,0.005051,0.05649
18.87,118.7,0.09746,0.113,0.0795,0.05664
18.9,60.07,0.09968,0.1975,0.04908,0.08743
17.0,78.6,0.07557,0.01342,0.01699,0.05561
16.18,66.52,0.1061,0.06726,0.03965,0.07279
19.66,131.1,0.0802,0.1155,0.07726,0.05096
13.32,82.82,0.1134,0.038,0.034,0.06476
21.51,135.9,0.117,0.2565,0.1504,0.0667
15.21,78.01,0.08673,0.01994,0.01692,0.06129
17.3,81.25,0.1028,0.03193,0.02107,0.05984
12.88,90.03,0.09309,0.01765,0.02733,0.057
17.93,76.09,0.07683,0.001546,0.005592,0.0607
20.71,106.9,0.1169,0.1478,0.08488,0.06277
21.88,107.5,0.1165,0.1799,0.07981,0.06532
15.51,105.8,0.09491,0.1204,0.07041,0.05976
19.35,84.52,0.09579,0.07107,0.0295,0.0654
19.86,71.94,0.1054,0.005006,0.007583,0.06028
14.78,71.38,0.08306,0.000974,0.002941,0.06081
19.02,77.88,0.08313,0.007756,0.008535,0.05945
21.0,111.8,0.1119,0.1508,0.09934,0.06071
14.23,84.08,0.09462,0.03738,0.02098,0.07238
21.43,122.9,0.09116,0.106,0.0609,0.06083
17.53,64.41,0.1007,0.02511,0.01775,0.06331
24.27,155.1,0.1069,0.2308,0.141,0.05506
16.54,94.15,0.09751,0.08007,0.04223,0.06412
16.84,61.64,0.08481,0.08422,0.02292,0.07125
14.96,71.49,0.1033,0.05397,0.03341,0.06907
21.68,129.9,0.09797,0.1863,0.1103,0.05715
15.45,75.03,0.115,0.04006,0.0325,0.06506
14.71,66.2,0.09882,0.03581,0.02037,0.07005
18.9,76.66,0.08386,0.00751,0.008488,0.06048
14.74,94.87,0.08875,0.04608,0.03528,0.05912
16.03,73.02,0.09076,0.02587,0.02322,0.06372
14.96,77.23,0.1158,0.01171,0.01787,0.06581
17.07,73.7,0.07561,0.008306,0.01162,0.05731
19.22,107.1,0.1243,0.2914,0.1242,0.07603
17.46,174.2,0.1149,0.3368,0.1913,0.06121
25.74,98.0,0.1024,0.1235,0.06553,0.06464
14.07,71.24,0.07274,0.04505,0.01471,0.06083
19.07,81.92,0.0876,0.103,0.04391,0.06184
18.59,85.09,0.1082,0.09603,0.05603,0.06501
16.21,88.52,0.08743,0.01502,0.02088,0.05883
15.49,56.74,0.08293,0.04721,0.02381,0.06621
18.32,59.82,0.1009,0.0271,0.01406,0.06959
18.07,79.42,0.07436,0.001194,0.005449,0.05185
21.57,85.24,0.08582,0.03344,0.02424,0.05696
18.84,81.87,0.09676,0.02688,0.01781,0.06183
18.29,106.6,0.09686,0.05862,0.04835,0.05593
16.95,85.48,0.07937,0.02181,0.01473,0.05701
21.78,133.8,0.0915,0.09799,0.07785,0.05557
26.83,133.7,0.09905,0.1641,0.1265,0.0602
18.02,78.31,0.09231,0.04392,0.02027,0.05916
17.25,140.9,0.09384,0.1168,0.08465,0.05054
21.9,147.2,0.1063,0.2448,0.1501,0.0614
23.29,109.0,0.09742,0.1811,0.08773,0.06218
13.21,97.65,0.07963,0.03393,0.02657,0.05544
15.1,141.3,0.1001,0.1932,0.1255,0.06183
17.35,134.8,0.09446,0.1527,0.08941,0.05478
16.07,87.84,0.08302,0.02556,0.02031,0.05669
16.07,106.3,0.0988,0.06651,0.05397,0.06572
20.22,70.15,0.09073,0.228,0.05941,0.0845
28.21,85.89,0.07517,0.01271,0.01117,0.05763
15.15,88.27,0.08268,0.04249,0.02471,0.05897
18.83,73.3,0.1216,0.1689,0.06367,0.0795
12.96,73.16,0.1237,0.079,0.0555,0.06914
14.93,70.67,0.07987,0.03546,0.02074,0.06246
22.72,78.75,0.06935,0.07943,0.02978,0.06659
17.48,80.64,0.1042,0.05892,0.0288,0.06588
13.72,85.79,0.08363,0.05077,0.02864,0.05594
23.29,93.97,0.08682,0.0839,0.05271,0.05416
14.09,78.78,0.08108,0.06839,0.02534,0.06154
16.16,88.37,0.07026,0.02045,0.008507,0.05474
15.5,73.38,0.08365,0.1007,0.02757,0.07252
23.21,128.9,0.101,0.1856,0.1021,0.05884
12.22,65.75,0.09996,0.01923,0.01968,0.06569
16.84,55.27,0.1039,0.0,0.0,0.07098
19.97,102.4,0.116,0.1891,0.09113,0.06744
22.28,144.4,0.1167,0.281,0.1562,0.06606
17.72,78.07,0.1029,0.04783,0.03326,0.06161
17.18,89.75,0.08045,0.02681,0.03251,0.05764
18.89,88.1,0.1059,0.0858,0.05381,0.06079
17.46,83.05,0.08044,0.0739,0.04083,0.0575
14.83,70.31,0.07741,0.02712,0.007246,0.06214
17.26,75.26,0.09087,0.02853,0.01638,0.06019
21.02,124.4,0.123,0.3189,0.1198,0.07115
10.91,76.14,0.08872,0.02606,0.01796,0.05541
18.29,84.18,0.07351,0.04057,0.01883,0.05899
16.17,83.18,0.09879,0.03296,0.0239,0.062
14.95,78.29,0.08682,0.02109,0.02054,0.05708
18.59,70.39,0.1004,0.04944,0.02932,0.06615
14.86,104.3,0.09495,0.055,0.04528,0.05875
21.37,82.63,0.07551,0.06126,0.01867,0.06114
20.66,117.8,0.1036,0.1201,0.08824,0.06069
17.92,78.41,0.08685,0.03211,0.02653,0.05597
17.57,72.49,0.08858,0.02783,0.021,0.05913
16.83,70.92,0.1077,0.03046,0.0248,0.0634
21.68,59.75,0.07969,0.03735,0.005128,0.06724
22.11,97.53,0.08515,0.06859,0.03876,0.05913
29.81,96.71,0.0832,0.04686,0.02739,0.05294
21.17,76.39,0.09773,0.02555,0.02179,0.0629
21.7,59.6,0.1044,0.02047,0.01257,0.06601
21.08,102.9,0.112,0.1522,0.08481,0.06864
12.17,80.88,0.08785,0.0236,0.02402,0.06275
21.41,70.95,0.1018,0.008955,0.01076,0.06144
19.04,74.2,0.08546,0.05485,0.01428,0.06267
13.98,98.22,0.1031,0.145,0.063,0.07406
16.02,75.46,0.1088,0.07097,0.04497,0.0632
19.13,89.46,0.09057,0.09657,0.04812,0.06181
19.12,61.93,0.1075,0.008934,0.01967,0.07029
21.28,63.19,0.08117,0.00247,0.005159,0.06439
14.98,67.49,0.09816,0.06335,0.02218,0.06915
21.98,68.79,0.08801,0.03614,0.01404,0.05977
16.62,70.47,0.08151,0.01369,0.0137,0.06148
17.67,80.98,0.07896,0.01402,0.01835,0.05544
22.53,102.1,0.09947,0.2733,0.09711,0.06898
17.68,81.47,0.1054,0.07741,0.02799,0.07102
19.54,133.8,0.1133,0.2133,0.1259,0.06053
21.97,123.7,0.1018,0.1594,0.08744,0.06132
16.94,94.89,0.08924,0.03346,0.02877,0.05703
19.62,91.12,0.106,0.1126,0.06463,0.06544
19.54,82.67,0.09136,0.01797,0.0209,0.06347
15.98,89.78,0.08458,0.03534,0.02944,0.05898
19.6,88.68,0.08684,0.01342,0.02293,0.05673
15.66,89.59,0.07966,0.02087,0.02652,0.05586
17.2,71.73,0.08915,0.09457,0.03613,0.0664
25.42,112.4,0.08331,0.1204,0.05736,0.05407
15.79,88.37,0.08817,0.01055,0.009937,0.05848
18.32,66.82,0.08142,0.01993,0.01111,0.05768
16.85,117.5,0.08947,0.109,0.06254,0.0578
24.89,77.61,0.103,0.05441,0.04274,0.0685
28.03,117.3,0.09997,0.1698,0.08293,0.05916
17.66,95.88,0.09179,0.04069,0.0226,0.05886
19.34,94.25,0.08388,0.08817,0.02925,0.05746
20.52,138.1,0.09684,0.1572,0.1155,0.05661
21.54,76.83,0.06613,0.08777,0.02386,0.06612
25.0,127.7,0.1032,0.1655,0.09063,0.05391
28.23,76.77,0.08437,0.04055,0.01945,0.06104
13.98,93.86,0.1099,0.06895,0.06495,0.06121
17.15,80.62,0.08583,0.02966,0.02272,0.05826
30.72,86.34,0.09245,0.02819,0.03264,0.06016
29.29,74.87,0.09357,0.0716,0.02017,0.06166
25.25,84.1,0.08791,0.02772,0.02068,0.05584
25.13,82.61,0.08369,0.01206,0.01762,0.05449
28.2,61.68,0.07984,0.01541,0.01043,0.05952
27.15,111.2,0.09898,0.1007,0.06431,0.06281
26.27,186.9,0.1084,0.3635,0.1689,0.05623
26.99,92.25,0.06995,0.03476,0.01737,0.05433
18.36,73.88,0.08508,0.03367,0.01777,0.05859
18.22,84.28,0.07466,0.04859,0.0287,0.05549
20.13,86.87,0.08284,0.101,0.02833,0.06432
20.74,85.98,0.08675,0.1085,0.0351,0.0602
18.1,61.06,0.08311,0.01479,0.005769,0.06412
23.33,119.0,0.09289,0.2136,0.1002,0.07369
18.18,76.38,0.1175,0.102,0.05564,0.07255
18.49,61.49,0.08946,0.02948,0.01514,0.06413
28.14,76.85,0.08752,0.02367,0.02377,0.05698
14.93,96.45,0.08098,0.05539,0.03221,0.05669
29.97,77.42,0.07699,0.0,0.0,0.0596
15.62,70.41,0.1007,0.05115,0.01571,0.06837
15.73,82.89,0.0904,0.05835,0.03078,0.05913
20.53,92.41,0.08931,0.05063,0.03058,0.06009
16.62,88.97,0.06828,0.02224,0.01339,0.05536
14.59,73.99,0.1046,0.05308,0.01969,0.06574
19.51,109.8,0.1026,0.2236,0.09194,0.06578
18.03,78.29,0.09087,0.02916,0.01527,0.06284
19.24,88.73,0.07991,0.02995,0.0207,0.05594
14.06,87.32,0.1071,0.05786,0.05266,0.06639
17.64,87.76,0.0995,0.04548,0.0316,0.06088
11.28,102.8,0.1043,0.1191,0.06211,0.06259
16.41,82.85,0.09514,0.1544,0.04846,0.07325
16.85,94.21,0.08641,0.05192,0.02791,0.05355
18.82,128.1,0.1089,0.2256,0.1194,0.06115
16.17,75.49,0.1128,0.04279,0.03132,0.06401
20.2,107.1,0.07497,0.03649,0.02307,0.05325
22.44,78.18,0.08192,0.01714,0.01261,0.05976
13.23,114.6,0.07838,0.04445,0.04178,0.05243
20.56,118.4,0.1001,0.117,0.07762,0.06077
12.83,78.83,0.07372,0.007173,0.01149,0.06013
20.54,84.06,0.07335,0.018,0.01256,0.05888
20.21,96.12,0.09587,0.06824,0.04951,0.05748
18.17,82.69,0.1076,0.08017,0.05074,0.06854
17.31,80.45,0.08928,0.03609,0.02369,0.06046
17.52,121.3,0.1012,0.1491,0.09183,0.06697
21.24,137.8,0.1085,0.2188,0.1121,0.06222
